outer_fold,inner_repeat,role,target,class,count,source_count,segment_count
0,0,inner_train,chest_resonance,0,71,144,2045
0,0,inner_train,chest_resonance,1,430,144,2045
0,0,inner_train,chest_resonance,2,1241,144,2045
0,0,inner_train,chest_resonance,3,303,144,2045
0,0,inner_train,head_resonance,0,90,144,2045
0,0,inner_train,head_resonance,1,428,144,2045
0,0,inner_train,head_resonance,2,1211,144,2045
0,0,inner_train,head_resonance,3,316,144,2045
0,0,inner_train,front_placement,0,1719,144,2045
0,0,inner_train,front_placement,1,187,144,2045
0,0,inner_train,front_placement,2,139,144,2045
0,0,inner_train,back_placement,0,1673,144,2045
0,0,inner_train,back_placement,1,305,144,2045
0,0,inner_train,back_placement,2,67,144,2045
0,0,inner_train,open_throat,0,1451,144,2045
0,0,inner_train,open_throat,1,439,144,2045
0,0,inner_train,open_throat,2,140,144,2045
0,0,inner_train,open_throat,3,15,144,2045
0,0,inner_train,breathiness,0,1822,144,2045
0,0,inner_train,breathiness,1,223,144,2045
0,0,inner_train,vibrato,0,513,144,2045
0,0,inner_train,vibrato,1,1480,144,2045
0,0,inner_train,vibrato,2,52,144,2045
0,0,inner_dev,chest_resonance,0,15,36,562
0,0,inner_dev,chest_resonance,1,112,36,562
0,0,inner_dev,chest_resonance,2,362,36,562
0,0,inner_dev,chest_resonance,3,73,36,562
0,0,inner_dev,head_resonance,0,21,36,562
0,0,inner_dev,head_resonance,1,99,36,562
0,0,inner_dev,head_resonance,2,354,36,562
0,0,inner_dev,head_resonance,3,88,36,562
0,0,inner_dev,front_placement,0,472,36,562
0,0,inner_dev,front_placement,1,54,36,562
0,0,inner_dev,front_placement,2,36,36,562
0,0,inner_dev,back_placement,0,438,36,562
0,0,inner_dev,back_placement,1,105,36,562
0,0,inner_dev,back_placement,2,19,36,562
0,0,inner_dev,open_throat,0,406,36,562
0,0,inner_dev,open_throat,1,121,36,562
0,0,inner_dev,open_throat,2,32,36,562
0,0,inner_dev,open_throat,3,3,36,562
0,0,inner_dev,breathiness,0,498,36,562
0,0,inner_dev,breathiness,1,64,36,562
0,0,inner_dev,vibrato,0,133,36,562
0,0,inner_dev,vibrato,1,417,36,562
0,0,inner_dev,vibrato,2,12,36,562
0,0,outer_test,chest_resonance,0,26,47,849
0,0,outer_test,chest_resonance,1,216,47,849
0,0,outer_test,chest_resonance,2,493,47,849
0,0,outer_test,chest_resonance,3,114,47,849
0,0,outer_test,head_resonance,0,34,47,849
0,0,outer_test,head_resonance,1,246,47,849
0,0,outer_test,head_resonance,2,447,47,849
0,0,outer_test,head_resonance,3,122,47,849
0,0,outer_test,front_placement,0,614,47,849
0,0,outer_test,front_placement,1,142,47,849
0,0,outer_test,front_placement,2,93,47,849
0,0,outer_test,back_placement,0,586,47,849
0,0,outer_test,back_placement,1,221,47,849
0,0,outer_test,back_placement,2,42,47,849
0,0,outer_test,open_throat,0,545,47,849
0,0,outer_test,open_throat,1,149,47,849
0,0,outer_test,open_throat,2,119,47,849
0,0,outer_test,open_throat,3,36,47,849
0,0,outer_test,breathiness,0,741,47,849
0,0,outer_test,breathiness,1,108,47,849
0,0,outer_test,vibrato,0,271,47,849
0,0,outer_test,vibrato,1,527,47,849
0,0,outer_test,vibrato,2,51,47,849
0,1,inner_train,chest_resonance,0,70,144,2070
0,1,inner_train,chest_resonance,1,415,144,2070
0,1,inner_train,chest_resonance,2,1275,144,2070
0,1,inner_train,chest_resonance,3,310,144,2070
0,1,inner_train,head_resonance,0,89,144,2070
0,1,inner_train,head_resonance,1,417,144,2070
0,1,inner_train,head_resonance,2,1241,144,2070
0,1,inner_train,head_resonance,3,323,144,2070
