role,target,class,minimum,median,maximum,zero_support_cells,evaluated_cells
inner_dev,back_placement,0,274,474.5,535,0,30
inner_dev,back_placement,1,66,105.5,133,0,30
inner_dev,back_placement,2,7,23.5,31,0,30
inner_dev,breathiness,0,371,521.5,589,0,30
inner_dev,breathiness,1,51,63.5,97,0,30
inner_dev,chest_resonance,0,4,18.5,39,0,30
inner_dev,chest_resonance,1,79,125.5,161,0,30
inner_dev,chest_resonance,2,259,365.5,402,0,30
inner_dev,chest_resonance,3,55,76.5,106,0,30
inner_dev,front_placement,0,310,491.0,544,0,30
inner_dev,front_placement,1,36,62.5,101,0,30
inner_dev,front_placement,2,26,42.5,69,0,30
inner_dev,head_resonance,0,12,23.0,36,0,30
inner_dev,head_resonance,1,83,122.0,158,0,30
inner_dev,head_resonance,2,226,353.5,405,0,30
inner_dev,head_resonance,3,72,88.5,120,0,30
inner_dev,open_throat,0,277,419.5,484,0,30
inner_dev,open_throat,1,91,117.0,140,0,30
inner_dev,open_throat,2,32,47.5,69,0,30
inner_dev,open_throat,3,2,8.5,20,0,30
inner_dev,vibrato,0,88,162.5,209,0,30
inner_dev,vibrato,1,311,414.0,472,0,30
inner_dev,vibrato,2,5,14.0,36,0,30
inner_train,back_placement,0,1199,1939.0,2036,0,30
inner_train,back_placement,1,305,443.0,499,0,30
inner_train,back_placement,2,60,84.0,108,0,30
inner_train,breathiness,0,1541,2165.0,2312,0,30
inner_train,breathiness,1,218,245.5,327,0,30
inner_train,chest_resonance,0,48,72.0,104,0,30
inner_train,chest_resonance,1,373,520.5,614,0,30
inner_train,chest_resonance,2,1041,1473.5,1591,0,30
inner_train,chest_resonance,3,282,325.0,385,0,30
inner_train,front_placement,0,1314,1979.0,2120,0,30
inner_train,front_placement,1,179,255.0,317,0,30
inner_train,front_placement,2,133,178.5,227,0,30
inner_train,head_resonance,0,54,100.5,133,0,30
inner_train,head_resonance,1,414,542.5,631,0,30
inner_train,head_resonance,2,980,1420.5,1506,0,30
inner_train,head_resonance,3,293,337.5,436,0,30
inner_train,open_throat,0,1128,1688.5,1823,0,30
inner_train,open_throat,1,410,469.0,562,0,30
inner_train,open_throat,2,131,197.5,241,0,30
inner_train,open_throat,3,13,40.5,48,0,30
inner_train,vibrato,0,399,651.5,743,0,30
inner_train,vibrato,1,1269,1690.5,1790,0,30
inner_train,vibrato,2,44,83.5,101,0,30
