outer_fold,inner_repeat,split_score,missing_class_penalty_count,dev_fraction_error,train_sources,dev_sources,test_sources,train_segments,dev_segments,test_segments
0,0,0.0124394913633363,0,0.003452243958573,144,36,47,2045,562,849
0,1,0.009811405346436,0,0.0061373225930188,144,36,47,2070,537,849
0,2,0.0092993958297103,0,0.002301495972382,144,36,47,2048,559,849
0,3,0.0113203245165916,0,0.0003835826620636,144,36,47,2053,554,849
0,4,0.0122439839979471,0,0.0007671653241273,144,36,47,2056,551,849
1,0,0.0111864344798057,0,0.0053577056413488,164,41,22,2542,631,283
1,1,0.0113873910583095,0,0.0053577056413488,164,41,22,2542,631,283
1,2,0.0102982836371893,0,0.0006303183107469,164,41,22,2557,616,283
1,3,0.0094289945017551,0,0.0031515915537346,164,41,22,2549,624,283
1,4,0.0126152858136755,0,0.0069335014182162,164,41,22,2537,636,283
2,0,0.0094999576235274,0,0.0010526315789473,140,35,52,2310,540,606
2,1,0.0136594166436958,0,0.0049122807017543,140,35,52,2327,523,606
2,2,0.0133095233003272,0,0.0007017543859648,140,35,52,2315,535,606
2,3,0.0131709167225052,0,0.0021052631578947,140,35,52,2307,543,606
2,4,0.0136288879625927,0,0.0003508771929824,140,35,52,2312,538,606
3,0,0.0158291117639579,0,0.0008988764044943,129,33,65,1787,438,1231
3,1,0.0121554182853289,0,0.0013483146067415,129,33,65,1786,439,1231
3,2,0.0156125804416263,0,0.0013483146067415,129,33,65,1786,439,1231
3,3,0.0148252431496202,0,0.0017977528089887,129,33,65,1785,440,1231
3,4,0.0166745905403164,0,0.0013483146067415,129,33,65,1792,433,1231
4,0,0.0118295885844798,0,0.0006261740763932,164,42,21,2560,634,262
4,1,0.0128821725208775,0,0.0006261740763932,164,42,21,2560,634,262
4,2,0.0107712117881814,0,0.0018785222291796,164,42,21,2568,626,262
4,3,0.011977296976344,0,0.0006261740763932,164,42,21,2564,630,262
4,4,0.0104828268298211,0,0.0034439574201628,164,42,21,2551,643,262
5,0,0.0110946389408913,0,0.0003095017022593,165,42,20,2567,664,225
5,1,0.0095391124025408,0,0.0006190034045187,165,42,20,2564,667,225
5,2,0.0115252905368192,0,0.0003095017022593,165,42,20,2567,664,225
5,3,0.0117221878036042,0,0.0021665119158155,165,42,20,2573,658,225
5,4,0.0093521540920577,0,0.0024760136180748,165,42,20,2558,673,225
