method,estimand,level,target,uar,macro_f1,accuracy
BEATs linear probe,segment_weighted,target,back_placement,0.358550086393463,0.35132192106514504,0.609375
BEATs linear probe,segment_weighted,target,breathiness,0.5098362825088185,0.5099265690971201,0.8035300925925926
BEATs linear probe,segment_weighted,target,chest_resonance,0.3014846235882014,0.3042030619221695,0.5115740740740741
BEATs linear probe,segment_weighted,target,front_placement,0.3420550368980924,0.34066591121756074,0.6765046296296297
BEATs linear probe,segment_weighted,target,head_resonance,0.3228619785688,0.3206155871777817,0.4837962962962963
BEATs linear probe,segment_weighted,target,open_throat,0.28926142989757353,0.2842614906980126,0.5674189814814815
BEATs linear probe,segment_weighted,target,vibrato,0.36453423268930657,0.36546112713287476,0.6119791666666666
BEATs linear probe,segment_weighted,target_macro,ALL,0.3555119529348936,0.3537793811872378,0.6091683201058201
BEATs linear probe,source_equal_weighted,target,back_placement,0.35561050719454584,0.35020782978627046,0.6146177311188428
BEATs linear probe,source_equal_weighted,target,breathiness,0.515973635882894,0.5157132996039417,0.8119798270160358
BEATs linear probe,source_equal_weighted,target,chest_resonance,0.30736024143406093,0.30932812437591933,0.5305984741122419
BEATs linear probe,source_equal_weighted,target,front_placement,0.3386611522533136,0.33677915189880747,0.6749194851475337
BEATs linear probe,source_equal_weighted,target,head_resonance,0.3265388514922012,0.32270227373814264,0.48874261908551747
BEATs linear probe,source_equal_weighted,target,open_throat,0.2928217258528046,0.28523841906208613,0.5738968301280881
BEATs linear probe,source_equal_weighted,target,vibrato,0.36007048405418307,0.36073208891652736,0.6261469948741727
BEATs linear probe,source_equal_weighted,target_macro,ALL,0.35671951402342905,0.35438588391167075,0.6172717087832046
BEATs linear probe,aria_equal_weighted,target,back_placement,0.3455384034479581,0.34270033639597647,0.5809576776097468
BEATs linear probe,aria_equal_weighted,target,breathiness,0.5073568528360404,0.5070631117658222,0.7954686481795855
BEATs linear probe,aria_equal_weighted,target,chest_resonance,0.30321132379717713,0.30489012261822246,0.5111113359421471
BEATs linear probe,aria_equal_weighted,target,front_placement,0.3303519081340759,0.3307484655574095,0.6466615248742406
BEATs linear probe,aria_equal_weighted,target,head_resonance,0.32428783565548946,0.323807597351658,0.5049477245959119
BEATs linear probe,aria_equal_weighted,target,open_throat,0.2994889467162151,0.2890117529393102,0.5490463884816642
BEATs linear probe,aria_equal_weighted,target,vibrato,0.3621276927916374,0.3620091625889885,0.6550410401757729
BEATs linear probe,aria_equal_weighted,target_macro,ALL,0.35319470905408484,0.3514615070310554,0.6061763342655813
BEATs multi-task,segment_weighted,target,back_placement,0.3565556239754763,0.35788512909153436,0.6510416666666666
BEATs multi-task,segment_weighted,target,breathiness,0.4962397495647571,0.49483143248953515,0.8165509259259259
BEATs multi-task,segment_weighted,target,chest_resonance,0.3115247378433337,0.31169457793886846,0.49537037037037035
BEATs multi-task,segment_weighted,target,front_placement,0.35138303910095386,0.35040112028659437,0.7019675925925926
BEATs multi-task,segment_weighted,target,head_resonance,0.3179960692562781,0.3155296989990174,0.47366898148148145
BEATs multi-task,segment_weighted,target,open_throat,0.30526869755326097,0.296641582625782,0.5992476851851852
BEATs multi-task,segment_weighted,target,vibrato,0.36193164264508565,0.3600369725672654,0.6050347222222222
BEATs multi-task,segment_weighted,target_macro,ALL,0.35727136570559226,0.35528864485694245,0.6204117063492063
BEATs multi-task,source_equal_weighted,target,back_placement,0.3562902821879866,0.3567071262733401,0.6516459043481879
BEATs multi-task,source_equal_weighted,target,breathiness,0.49820920371718913,0.497269638278241,0.826058086037491
BEATs multi-task,source_equal_weighted,target,chest_resonance,0.31335221444882055,0.3113425824044318,0.5104632211253979
BEATs multi-task,source_equal_weighted,target,front_placement,0.35073179032912977,0.35032170468499624,0.7088420636363442
BEATs multi-task,source_equal_weighted,target,head_resonance,0.31838883438845456,0.31471128687277217,0.47989427604155754
BEATs multi-task,source_equal_weighted,target,open_throat,0.3032814045448238,0.29240666244989943,0.602729992247269
BEATs multi-task,source_equal_weighted,target,vibrato,0.36484022447802017,0.3626348516852859,0.624628318887848
BEATs multi-task,source_equal_weighted,target_macro,ALL,0.35787056487063207,0.3550562646641381,0.6291802660462993
BEATs multi-task,aria_equal_weighted,target,back_placement,0.3441505867049009,0.3447669032916336,0.6016105678922096
BEATs multi-task,aria_equal_weighted,target,breathiness,0.4969596800430643,0.4952265062770167,0.8210789605397415
BEATs multi-task,aria_equal_weighted,target,chest_resonance,0.3115421043423403,0.31001125285151726,0.5037238037241913
BEATs multi-task,aria_equal_weighted,target,front_placement,0.3460517037748115,0.3456195445390698,0.6851480740830744
BEATs multi-task,aria_equal_weighted,target,head_resonance,0.3170689832370224,0.31302002379460503,0.48472805133238905
BEATs multi-task,aria_equal_weighted,target,open_throat,0.30502548400359564,0.2924717096864521,0.5720178175843021
BEATs multi-task,aria_equal_weighted,target,vibrato,0.3645662239168433,0.3625062656093552,0.6540496409045097
BEATs multi-task,aria_equal_weighted,target_macro,ALL,0.3550521094317968,0.3519460294356643,0.6174795594372026
Class-bias-adjusted MERT,segment_weighted,target,back_placement,0.3805498667494806,0.3546935330314944,0.5691550925925926
Class-bias-adjusted MERT,segment_weighted,target,breathiness,0.4888433084248963,0.48113353390969305,0.7077546296296297
Class-bias-adjusted MERT,segment_weighted,target,chest_resonance,0.36500027000769897,0.32674551880540487,0.42042824074074076
Class-bias-adjusted MERT,segment_weighted,target,front_placement,0.3650303353081888,0.3579424112024722,0.6438078703703703
Class-bias-adjusted MERT,segment_weighted,target,head_resonance,0.34015507587296473,0.32717626898619295,0.4366319444444444
Class-bias-adjusted MERT,segment_weighted,target,open_throat,0.31323029289048177,0.27471785389596326,0.4331597222222222
Class-bias-adjusted MERT,segment_weighted,target,vibrato,0.3119407498096545,0.31318309713661246,0.46730324074074076
Class-bias-adjusted MERT,segment_weighted,target_macro,ALL,0.366392842723338,0.34794174528111904,0.525462962962963
Class-bias-adjusted MERT,source_equal_weighted,target,back_placement,0.3616026428240314,0.3410220454188233,0.5636604464958505
Class-bias-adjusted MERT,source_equal_weighted,target,breathiness,0.4768710881931214,0.46995222627175515,0.6993254841897888
Class-bias-adjusted MERT,source_equal_weighted,target,chest_resonance,0.3710560302427416,0.32332759724786503,0.4280121425814607
Class-bias-adjusted MERT,source_equal_weighted,target,front_placement,0.362550445147436,0.35307092070564705,0.6425408307812089
Class-bias-adjusted MERT,source_equal_weighted,target,head_resonance,0.3443064660157474,0.32704216643692213,0.4349402166379029
Class-bias-adjusted MERT,source_equal_weighted,target,open_throat,0.33057043389457286,0.2712001537513908,0.418447300912578
Class-bias-adjusted MERT,source_equal_weighted,target,vibrato,0.3243835722773072,0.32153450785569665,0.4952043506233196
Class-bias-adjusted MERT,source_equal_weighted,target_macro,ALL,0.3673343826564226,0.34387851681258574,0.5260186817460156
Class-bias-adjusted MERT,aria_equal_weighted,target,back_placement,0.36054384452757376,0.3395576894679941,0.5285361430549714
Class-bias-adjusted MERT,aria_equal_weighted,target,breathiness,0.45751561184992656,0.4574281290478084,0.6874085260007446
Class-bias-adjusted MERT,aria_equal_weighted,target,chest_resonance,0.3767938204126742,0.3346490041278083,0.44879680254325494
Class-bias-adjusted MERT,aria_equal_weighted,target,front_placement,0.36429556454797224,0.35737540125402684,0.6059993054051692
Class-bias-adjusted MERT,aria_equal_weighted,target,head_resonance,0.3381637736168769,0.31903311967717046,0.4364819346298398
Class-bias-adjusted MERT,aria_equal_weighted,target,open_throat,0.3537259225043724,0.2821617584077048,0.412726866491703
Class-bias-adjusted MERT,aria_equal_weighted,target,vibrato,0.32305069081534094,0.32040140675967976,0.5201786252786664
Class-bias-adjusted MERT,aria_equal_weighted,target_macro,ALL,0.3677270326106767,0.34437235839174185,0.5200183147720498
Class-bias-adjusted MERT/MuQ feature concatenation,segment_weighted,target,back_placement,0.36991075576823146,0.36264360418998437,0.6293402777777778
Class-bias-adjusted MERT/MuQ feature concatenation,segment_weighted,target,breathiness,0.48063303545213565,0.46339257987794513,0.6521990740740741
Class-bias-adjusted MERT/MuQ feature concatenation,segment_weighted,target,chest_resonance,0.3352600099638236,0.30617481783254596,0.4039351851851852
Class-bias-adjusted MERT/MuQ feature concatenation,segment_weighted,target,front_placement,0.38247183679208013,0.3700945456193449,0.6423611111111112
