outer_fold,aria,target,test_segments,train_class_counts,test_class_counts,train_class_prevalence,test_class_prevalence,total_variation_distance,jensen_shannon_divergence_base2,selected_tau,unadjusted_uar,adjusted_uar,uar_change
0,Che gelida manina,chest_resonance,849,"[86, 542, 1603, 376]","[26, 216, 493, 114]","[0.03298811, 0.2079018, 0.61488301, 0.14422708]","[0.03062426, 0.25441696, 0.58068316, 0.13427562]",0.04651515829223031,0.0022036834509208264,0.25,0.30578550486538636,0.3122370785843616,0.0064515737189752564
1,E lucevan le stelle,chest_resonance,283,"[110, 689, 1981, 393]","[2, 69, 115, 97]","[0.03466751, 0.21714466, 0.62433029, 0.12385755]","[0.00706714, 0.24381625, 0.40636042, 0.34275618]",0.24557023204845657,0.06301545883922055,0.25,0.33127147766323023,0.34875242790975647,0.01748095024652624
2,Nessun dorma,chest_resonance,606,"[82, 593, 1763, 412]","[30, 165, 333, 78]","[0.02877193, 0.20807018, 0.61859649, 0.1445614]","[0.04950495, 0.27227723, 0.54950495, 0.12871287]",0.08494007295466385,0.006915724886203098,0.0,0.3712257712257712,0.3712257712257712,0.0
3,Una furtiva lagrima,chest_resonance,1231,"[58, 495, 1313, 359]","[54, 263, 783, 131]","[0.02606742, 0.22247191, 0.59011236, 0.16134831]","[0.04386677, 0.21364744, 0.63606824, 0.10641755]",0.06375523690431636,0.006431155327789986,0.75,0.30297470328004183,0.3405330420523282,0.03755833877228637
4,Vesti la giubba,chest_resonance,262,"[112, 743, 1906, 433]","[0, 15, 190, 57]","[0.03506575, 0.23262367, 0.59674389, 0.13556669]","[0.0, 0.05725191, 0.72519084, 0.21755725]",0.2104375092611624,0.07000108762187064,0.25,0.3385964912280701,0.3092105263157895,-0.029385964912280627
5,La donna e mobile,chest_resonance,225,"[112, 728, 1914, 477]","[0, 30, 182, 13]","[0.03466419, 0.22531724, 0.59238626, 0.14763231]","[0.0, 0.13333333, 0.80888889, 0.05777778]",0.2165026307644692,0.052717268414713414,0.75,0.1456959706959707,0.15036630036630036,0.004670329670329654
0,Che gelida manina,head_resonance,849,"[111, 527, 1565, 404]","[34, 246, 447, 122]","[0.04257768, 0.20214806, 0.60030687, 0.1549674]","[0.04004711, 0.28975265, 0.52650177, 0.14369847]",0.08760458726912188,0.00758346814621122,0.0,0.3317677403311606,0.3317677403311606,0.0
1,E lucevan le stelle,head_resonance,283,"[145, 730, 1862, 436]","[0, 43, 150, 90]","[0.04569808, 0.23006618, 0.58682635, 0.13740939]","[0.0, 0.15194346, 0.53003534, 0.3180212]",0.18061180967059742,0.056251471980764814,0.5,0.29133074935400516,0.29291989664082685,0.0015891472868216905
2,Nessun dorma,head_resonance,606,"[104, 627, 1701, 418]","[41, 146, 311, 108]","[0.03649123, 0.22, 0.59684211, 0.14666667]","[0.06765677, 0.24092409, 0.51320132, 0.17821782]",0.08364078513114465,0.007140562794136101,0.25,0.3173796398654938,0.3384862329716104,0.021106593106116622
3,Una furtiva lagrima,head_resonance,1231,"[75, 522, 1247, 381]","[70, 251, 765, 145]","[0.03370787, 0.23460674, 0.56044944, 0.17123596]","[0.05686434, 0.20389927, 0.62144598, 0.11779041]",0.08415301344481056,0.007656442356356953,0.5,0.2976062394550713,0.31922015085284927,0.021613911397777963
4,Vesti la giubba,head_resonance,262,"[145, 758, 1821, 470]","[0, 15, 191, 56]","[0.04539762, 0.23731997, 0.5701315, 0.14715091]","[0.0, 0.05725191, 0.72900763, 0.21374046]",0.22546568709460013,0.07682093571612025,0.5,0.36432622787334834,0.3840127150336574,0.019686487160309074
5,La donna e mobile,head_resonance,225,"[145, 701, 1864, 521]","[0, 72, 148, 5]","[0.04487775, 0.21696069, 0.57691117, 0.16125039]","[0.0, 0.32, 0.65777778, 0.02222222]",0.18390591148251317,0.07440650447747774,0.0,0.34048423423423424,0.34048423423423424,0.0
0,Che gelida manina,front_placement,849,"[2191, 241, 175]","[614, 142, 93]","[0.84042961, 0.09244342, 0.06712697]","[0.72320377, 0.16725559, 0.10954064]",0.11722584344134637,0.014765664119002297,0.5,0.33664418650884675,0.3339299923388885,-0.002714194169958273
1,E lucevan le stelle,front_placement,283,"[2622, 322, 229]","[183, 61, 39]","[0.82634731, 0.10148125, 0.07217145]","[0.64664311, 0.2155477, 0.13780919]",0.1797041958485855,0.030592295057241908,0.25,0.3905002101723413,0.3795712484237075,-0.010928961748633836
2,Nessun dorma,front_placement,606,"[2354, 299, 197]","[451, 84, 71]","[0.82596491, 0.10491228, 0.06912281]","[0.74422442, 0.13861386, 0.11716172]",0.08174048983845758,0.007742022275021927,0.75,0.3672154880502527,0.4009603320836574,0.033744844033404664
3,Una furtiva lagrima,front_placement,1231,"[1645, 361, 219]","[1160, 22, 49]","[0.73932584, 0.16224719, 0.09842697]","[0.94232331, 0.01787165, 0.03980504]",0.20299747168192475,0.06616114584468304,0.0,0.39598767406649177,0.39598767406649177,0.0
4,Vesti la giubba,front_placement,262,"[2630, 312, 252]","[175, 71, 16]","[0.82341891, 0.09768316, 0.07889793]","[0.66793893, 0.27099237, 0.0610687]",0.17330921049486872,0.03725353055276324,0.25,0.36863011401743795,0.3728185781354796,0.004188464118041635
5,La donna e mobile,front_placement,225,"[2583, 380, 268]","[222, 3, 0]","[0.7994429, 0.11761065, 0.08294646]","[0.98666667, 0.01333333, 0.0]",0.1872237697307335,0.08295348847414952,0.0,0.3738738738738739,0.3738738738738739,0.0
0,Che gelida manina,back_placement,849,"[2111, 410, 86]","[586, 221, 42]","[0.809743, 0.15726889, 0.03298811]","[0.69022379, 0.26030624, 0.04946996]",0.11951920691912642,0.013900147304140872,0.5,0.36617988404778207,0.38618361495293835,0.02000373090515628
1,E lucevan le stelle,back_placement,283,"[2512, 556, 105]","[185, 75, 23]","[0.7916798, 0.17522849, 0.03309171]","[0.65371025, 0.26501767, 0.08127208]",0.13796955094831725,0.01896325739074603,0.25,0.3632014623318971,0.3775323149236192,0.01433085259172212
2,Nessun dorma,back_placement,606,"[2284, 480, 86]","[413, 151, 42]","[0.80140351, 0.16842105, 0.03017544]","[0.68151815, 0.24917492, 0.06930693]",0.11988535695674829,0.014871876870006044,0.25,0.3658401438174701,0.3587730972959393,-0.007067046521530784
3,Una furtiva lagrima,back_placement,1231,"[1510, 598, 117]","[1187, 33, 11]","[0.67865169, 0.26876404, 0.05258427]","[0.9642567, 0.02680747, 0.00893582]",0.28560501647514125,0.11330811577701436,0.0,0.3739586258541608,0.3739586258541608,0.0
4,Vesti la giubba,back_placement,262,"[2524, 552, 118]","[173, 79, 10]","[0.79023168, 0.17282405, 0.03694427]","[0.66030534, 0.30152672, 0.03816794]",0.1299263408968151,0.01696425338075728,0.5,0.27670056827882245,0.22500426818858077,-0.051696300090241676
5,La donna e mobile,back_placement,225,"[2544, 559, 128]","[153, 72, 0]","[0.78737233, 0.17301145, 0.03961622]","[0.68, 0.32, 0.0]",0.14698854843701636,0.038693383075620535,0.5,0.2845860566448802,0.22058823529411764,-0.06399782135076254
0,Che gelida manina,open_throat,849,"[1857, 560, 172, 18]","[545, 149, 119, 36]","[0.712313, 0.21480629, 0.06597622, 0.00690449]","[0.64193168, 0.17550059, 0.1401649, 0.04240283]",0.10968702094523983,0.0228474863657654,0.0,0.3036537272586106,0.3036537272586106,0.0
1,E lucevan le stelle,open_throat,283,"[2255, 618, 251, 49]","[147, 91, 40, 5]","[0.7106839, 0.19476836, 0.07910495, 0.0154428]","[0.51943463, 0.32155477, 0.14134276, 0.01766784]",0.19124926639189538,0.028590932016338874,0.0,0.3365417320774463,0.3365417320774463,0.0
2,Nessun dorma,open_throat,606,"[2022, 546, 237, 45]","[380, 163, 54, 9]","[0.70947368, 0.19157895, 0.08315789, 0.01578947]","[0.62706271, 0.2689769, 0.08910891, 0.01485149]",0.08334896647559493,0.00663204901471558,0.5,0.33962272330451215,0.3162458591946806,-0.02337686410983153
3,Una furtiva lagrima,open_throat,1231,"[1420, 518, 237, 50]","[982, 191, 54, 4]","[0.63820225, 0.23280899, 0.10651685, 0.02247191]","[0.79772543, 0.15515841, 0.04386677, 0.00324939]",0.15952317929152326,0.027577544646158147,0.0,0.29079293089060526,0.29079293089060526,0.0
4,Vesti la giubba,open_throat,262,"[2188, 677, 275, 54]","[214, 32, 16, 0]","[0.68503444, 0.21195992, 0.08609894, 0.0169067]","[0.81679389, 0.1221374, 0.0610687, 0.0]",0.1317594535555694,0.02298885076105645,0.0,0.33900408878504673,0.33900408878504673,0.0
5,La donna e mobile,open_throat,225,"[2268, 626, 283, 54]","[134, 83, 8, 0]","[0.70194986, 0.19374807, 0.08758898, 0.01671309]","[0.59555556, 0.36888889, 0.03555556, 0.0]",0.17514082327452798,0.03968521672387675,0.25,0.3167539561229995,0.2786032188455314,-0.038150737277468094
0,Che gelida manina,breathiness,849,"[2320, 287]","[741, 108]","[0.88991178, 0.11008822]","[0.87279152, 0.12720848]",0.017120256553096354,0.00050585680222785,0.25,0.5200742240215924,0.5512445644024592,0.031170340380866746
1,E lucevan le stelle,breathiness,283,"[2857, 316]","[204, 79]","[0.90040971, 0.09959029]","[0.72084806, 0.27915194]",0.17956165036488303,0.039159930015676137,0.25,0.5116344005956813,0.5144887068751551,0.002854306279473806
2,Nessun dorma,breathiness,606,"[2565, 285]","[496, 110]","[0.9, 0.1]","[0.81848185, 0.18151815]",0.08151815181518152,0.010032041102214092,0.25,0.5374633431085044,0.5612719941348974,0.023808651026392957
3,Una furtiva lagrima,breathiness,1231,"[1924, 301]","[1137, 94]","[0.8647191, 0.1352809]","[0.92363932, 0.07636068]",0.058920216504349227,0.006695358675183232,0.75,0.49522820412058605,0.44866109021501155,-0.0465671139055745
4,Vesti la giubba,breathiness,262,"[2800, 394]","[261, 1]","[0.87664371, 0.12335629]","[0.99618321, 0.00381679]",0.11953949915633799,0.05397563899730564,0.0,0.9329501915708812,0.9329501915708812,0.0
5,La donna e mobile,breathiness,225,"[2839, 392]","[222, 3]","[0.87867533, 0.12132467]","[0.98666667, 0.01333333]",0.10799133395233673,0.0382186700020145,0.25,0.47297297297297297,0.45045045045045046,-0.022522522522522515
0,Che gelida manina,vibrato,849,"[646, 1897, 64]","[271, 527, 51]","[0.2477944, 0.72765631, 0.02454929]","[0.31919906, 0.62073027, 0.06007067]",0.10692603902784159,0.01186163463366586,0.0,0.34637722088795847,0.34637722088795847,0.0
1,E lucevan le stelle,vibrato,283,"[852, 2209, 112]","[65, 215, 3]","[0.2685156, 0.69618657, 0.03529783]","[0.22968198, 0.75971731, 0.01060071]",0.0635307402676514,0.00714924791899933,0.0,0.3376267143709004,0.3376267143709004,0.0
2,Nessun dorma,vibrato,606,"[752, 2018, 80]","[165, 406, 35]","[0.26385965, 0.70807018, 0.02807018]","[0.27227723, 0.669967, 0.05775578]",0.038103178738926546,0.004208617304712721,0.5,0.34694730556799525,0.46749763646315373,0.12055033089515849
3,Una furtiva lagrima,vibrato,1231,"[507, 1615, 103]","[410, 809, 12]","[0.22786517, 0.7258427, 0.04629213]","[0.33306255, 0.65718928, 0.00974817]",0.10519738223240449,0.017727910730349256,0.25,0.35264738494109293,0.39262614690423786,0.039978761963144926
4,Vesti la giubba,vibrato,262,"[916, 2166, 112]","[1, 258, 3]","[0.28678773, 0.67814652, 0.03506575]","[0.00381679, 0.98473282, 0.01145038]",0.30658629969360485,0.1556752415144672,0.25,0.2842377260981912,0.2571059431524548,-0.027131782945736427
