group,distance,outcome,n,spearman_rho,p_value
all_targets,total_variation_distance,selected_tau,42,-0.1656381238759602,0.2944887659682493
all_targets,total_variation_distance,uar_change,42,-0.2279225655856901,0.14658049150026015
back_placement,total_variation_distance,selected_tau,6,-0.46291004988627577,0.3552324305155445
back_placement,total_variation_distance,uar_change,6,-0.3714285714285715,0.4684781341107872
breathiness,total_variation_distance,selected_tau,6,-0.50709255283711,0.3045587846805348
breathiness,total_variation_distance,uar_change,6,-0.2,0.7040000000000001
chest_resonance,total_variation_distance,selected_tau,6,0.06172133998483677,0.9075355544798589
chest_resonance,total_variation_distance,uar_change,6,-0.14285714285714288,0.7871720116618076
front_placement,total_variation_distance,selected_tau,6,-0.9710083124552245,0.001248592903197677
front_placement,total_variation_distance,uar_change,6,-0.3478626213914691,0.4992532181146332
head_resonance,total_variation_distance,selected_tau,6,0.09258200997725516,0.8615237650768769
head_resonance,total_variation_distance,uar_change,6,-0.49280538030458115,0.32063258286582746
open_throat,total_variation_distance,selected_tau,6,-0.33806170189140666,0.5122252586995416
open_throat,total_variation_distance,uar_change,6,0.06761234037828133,0.8987360319248712
vibrato,total_variation_distance,selected_tau,6,0.0,1.0
vibrato,total_variation_distance,uar_change,6,-0.3188740696088466,0.537900560470205
