scheme,scheme_id,outer_fold,aria,target,segments,present_classes,global_class_uar,present_class_uar,global_class_macro_f1,present_class_macro_f1,accuracy
MuQ,muq_multitask,0,Che gelida manina,back_placement,849,3,0.36617988404778207,0.36617988404778207,0.36465596421382535,0.36465596421382535,0.6301531213191991
MuQ,muq_multitask,0,Che gelida manina,breathiness,849,2,0.5200742240215924,0.5200742240215924,0.5181173391796396,0.5181173391796396,0.8457008244994111
MuQ,muq_multitask,0,Che gelida manina,chest_resonance,849,4,0.30578550486538636,0.30578550486538636,0.3021539907450132,0.3021539907450132,0.4994110718492344
MuQ,muq_multitask,0,Che gelida manina,front_placement,849,3,0.33664418650884675,0.33664418650884675,0.32377437563643,0.32377437563643,0.6325088339222615
MuQ,muq_multitask,0,Che gelida manina,head_resonance,849,4,0.3317677403311606,0.3317677403311606,0.32011321507644136,0.32011321507644136,0.464075382803298
MuQ,muq_multitask,0,Che gelida manina,open_throat,849,4,0.3036537272586106,0.3036537272586106,0.30584552902724305,0.30584552902724305,0.5901060070671378
MuQ,muq_multitask,0,Che gelida manina,vibrato,849,3,0.34637722088795847,0.34637722088795847,0.33854774767250045,0.33854774767250045,0.5618374558303887
MuQ,muq_multitask,1,E lucevan le stelle,back_placement,283,3,0.3632014623318971,0.3632014623318971,0.35615269246318976,0.35615269246318976,0.6148409893992933
MuQ,muq_multitask,1,E lucevan le stelle,breathiness,283,2,0.5116344005956813,0.5116344005956813,0.4531735355264767,0.4531735355264767,0.7208480565371025
MuQ,muq_multitask,1,E lucevan le stelle,chest_resonance,283,4,0.33127147766323023,0.33127147766323023,0.3191114359974009,0.3191114359974009,0.49469964664310956
MuQ,muq_multitask,1,E lucevan le stelle,front_placement,283,3,0.3905002101723413,0.3905002101723413,0.3813089543915867,0.3813089543915867,0.6395759717314488
MuQ,muq_multitask,1,E lucevan le stelle,head_resonance,283,3,0.29133074935400516,0.3884409991386735,0.2935910104388365,0.39145468058511534,0.5159010600706714
MuQ,muq_multitask,1,E lucevan le stelle,open_throat,283,4,0.3365417320774463,0.3365417320774463,0.336130652105914,0.336130652105914,0.558303886925795
MuQ,muq_multitask,1,E lucevan le stelle,vibrato,283,3,0.3376267143709004,0.3376267143709004,0.3350306351562202,0.3350306351562202,0.696113074204947
MuQ,muq_multitask,2,Nessun dorma,back_placement,606,3,0.3658401438174701,0.3658401438174701,0.3669293618781673,0.3669293618781673,0.5957095709570958
MuQ,muq_multitask,2,Nessun dorma,breathiness,606,2,0.5374633431085044,0.5374633431085044,0.5392665474060823,0.5392665474060823,0.7755775577557755
MuQ,muq_multitask,2,Nessun dorma,chest_resonance,606,4,0.3712257712257712,0.3712257712257712,0.35636380471085727,0.35636380471085727,0.4933993399339934
MuQ,muq_multitask,2,Nessun dorma,front_placement,606,3,0.3672154880502527,0.3672154880502527,0.37170183435743603,0.37170183435743603,0.6666666666666666
MuQ,muq_multitask,2,Nessun dorma,head_resonance,606,4,0.3173796398654938,0.3173796398654938,0.3063566917624997,0.3063566917624997,0.4389438943894389
MuQ,muq_multitask,2,Nessun dorma,open_throat,606,4,0.33962272330451215,0.33962272330451215,0.3049633033772508,0.3049633033772508,0.5676567656765676
MuQ,muq_multitask,2,Nessun dorma,vibrato,606,3,0.34694730556799525,0.34694730556799525,0.33786160203991916,0.33786160203991916,0.6105610561056105
MuQ,muq_multitask,3,Una furtiva lagrima,back_placement,1231,3,0.3739586258541608,0.3739586258541608,0.3630487399017828,0.3630487399017828,0.7676685621445979
MuQ,muq_multitask,3,Una furtiva lagrima,breathiness,1231,2,0.49522820412058605,0.49522820412058605,0.4917106176266482,0.4917106176266482,0.8066612510154346
MuQ,muq_multitask,3,Una furtiva lagrima,chest_resonance,1231,4,0.30297470328004183,0.30297470328004183,0.2888927734654601,0.2888927734654601,0.4662875710804224
MuQ,muq_multitask,3,Una furtiva lagrima,front_placement,1231,3,0.39598767406649177,0.39598767406649177,0.3611774315407868,0.3611774315407868,0.8489033306255077
MuQ,muq_multitask,3,Una furtiva lagrima,head_resonance,1231,4,0.2976062394550713,0.2976062394550713,0.28829957643899207,0.28829957643899207,0.4435418359057677
MuQ,muq_multitask,3,Una furtiva lagrima,open_throat,1231,4,0.29079293089060526,0.29079293089060526,0.2719740747955364,0.2719740747955364,0.6791226645004061
MuQ,muq_multitask,3,Una furtiva lagrima,vibrato,1231,3,0.35264738494109293,0.35264738494109293,0.3407362435926036,0.3407362435926036,0.536961819658814
MuQ,muq_multitask,4,Vesti la giubba,back_placement,262,3,0.27670056827882245,0.27670056827882245,0.2790780599666784,0.2790780599666784,0.4618320610687023
