scheme,scheme_id,estimand,level,target,uar,macro_f1,accuracy
MuQ,muq_multitask,segment_weighted,target,chest_resonance,0.32524200114394886,0.32351877793110917,0.48842592592592593
MuQ,muq_multitask,segment_weighted,target,head_resonance,0.3119654867040964,0.3062508049624557,0.4609375
MuQ,muq_multitask,segment_weighted,target,front_placement,0.3610856558071031,0.36179650545723274,0.7219328703703703
MuQ,muq_multitask,segment_weighted,target,back_placement,0.3534603387139866,0.3545614683747222,0.6516203703703703
MuQ,muq_multitask,segment_weighted,target,open_throat,0.30691916085396076,0.29974153391510205,0.6064814814814815
MuQ,muq_multitask,segment_weighted,target,breathiness,0.5083670017657835,0.5085271317829457,0.8165509259259259
MuQ,muq_multitask,segment_weighted,target,vibrato,0.35035629042966887,0.3504945688929147,0.6085069444444444
MuQ,muq_multitask,segment_weighted,target_macro,ALL,0.3596279907740783,0.3578415416166404,0.6220651455026455
MuQ,muq_multitask,source_equal_weighted,target,chest_resonance,0.32861510622265616,0.3239582156466897,0.502503078037641
MuQ,muq_multitask,source_equal_weighted,target,head_resonance,0.3082883697733212,0.3021300407243208,0.4628245201058259
MuQ,muq_multitask,source_equal_weighted,target,front_placement,0.35480517053515387,0.3554520200441262,0.7228430575062609
MuQ,muq_multitask,source_equal_weighted,target,back_placement,0.3430308519972347,0.3439662187479792,0.6410929451311448
MuQ,muq_multitask,source_equal_weighted,target,open_throat,0.30947021228140054,0.29770120642811276,0.6101068292043176
MuQ,muq_multitask,source_equal_weighted,target,breathiness,0.5085468798366104,0.5087953936775592,0.8248323185282757
MuQ,muq_multitask,source_equal_weighted,target,vibrato,0.34782643741200964,0.34794326364771755,0.6300095607366135
MuQ,muq_multitask,source_equal_weighted,target_macro,ALL,0.35722614686548376,0.3542780512737865,0.6277446156071542
MuQ,muq_multitask,aria_equal_weighted,target,chest_resonance,0.32511132930813336,0.3212715081537536,0.4958676003941858
MuQ,muq_multitask,aria_equal_weighted,target,head_resonance,0.3061911117150279,0.2994423533798763,0.47250535795398063
MuQ,muq_multitask,aria_equal_weighted,target,front_placement,0.36021458434735737,0.36221047612322504,0.691671616153972
MuQ,muq_multitask,aria_equal_weighted,target,back_placement,0.33846552025240123,0.33908903721181494,0.5976266434074073
MuQ,muq_multitask,aria_equal_weighted,target,open_throat,0.310272221170625,0.2990754922267014,0.5749234115346792
MuQ,muq_multitask,aria_equal_weighted,target,breathiness,0.5064557480787835,0.50602541741663,0.8247555394802526
MuQ,muq_multitask,aria_equal_weighted,target,vibrato,0.3534542325961016,0.3542156527572011,0.6727131955665702
MuQ,muq_multitask,aria_equal_weighted,target_macro,ALL,0.35716639249549004,0.3544757053241718,0.6185804806415783
MuQ,muq_multitask,aria_fold_mean_global_class,target_macro,ALL,0.3685792136226409,0.34062498609377617,0.6185804806415781
MuQ,muq_multitask,aria_fold_mean_present_class,target_macro,ALL,0.393371924845433,0.36221889873759333,0.6185804806415781
Adjusted MuQ,muq_multitask_inner_prior_adjusted,segment_weighted,target,chest_resonance,0.34466883414426414,0.30666842703245883,0.3888888888888889
Adjusted MuQ,muq_multitask_inner_prior_adjusted,segment_weighted,target,head_resonance,0.32745038739147825,0.30725294763412697,0.3967013888888889
Adjusted MuQ,muq_multitask_inner_prior_adjusted,segment_weighted,target,front_placement,0.400557877178384,0.3791374773048852,0.6206597222222222
Adjusted MuQ,muq_multitask_inner_prior_adjusted,segment_weighted,target,back_placement,0.37349174717912587,0.35486902039199975,0.5775462962962963
Adjusted MuQ,muq_multitask_inner_prior_adjusted,segment_weighted,target,open_throat,0.30454541709405014,0.2948775317213208,0.5839120370370371
Adjusted MuQ,muq_multitask_inner_prior_adjusted,segment_weighted,target,breathiness,0.4958659162431405,0.4830786515442754,0.6967592592592593
Adjusted MuQ,muq_multitask_inner_prior_adjusted,segment_weighted,target,vibrato,0.4003462235180893,0.3800362804300515,0.5688657407407407
Adjusted MuQ,muq_multitask_inner_prior_adjusted,segment_weighted,target_macro,ALL,0.37813234324979034,0.35798861943701693,0.5476190476190476
Adjusted MuQ,muq_multitask_inner_prior_adjusted,source_equal_weighted,target,chest_resonance,0.34986927833018305,0.3070208842010175,0.40759063402146295
Adjusted MuQ,muq_multitask_inner_prior_adjusted,source_equal_weighted,target,head_resonance,0.3285705463673338,0.30590843134467605,0.400582580504649
Adjusted MuQ,muq_multitask_inner_prior_adjusted,source_equal_weighted,target,front_placement,0.39659218751340575,0.36893473106809926,0.6123284946742833
Adjusted MuQ,muq_multitask_inner_prior_adjusted,source_equal_weighted,target,back_placement,0.35126814479365626,0.33678956349606476,0.5566381040778055
Adjusted MuQ,muq_multitask_inner_prior_adjusted,source_equal_weighted,target,open_throat,0.3064094177721034,0.2922398150653916,0.5788432207786687
Adjusted MuQ,muq_multitask_inner_prior_adjusted,source_equal_weighted,target,breathiness,0.5013212527466722,0.48965668384482425,0.7222814974824788
Adjusted MuQ,muq_multitask_inner_prior_adjusted,source_equal_weighted,target,vibrato,0.4052552023095495,0.37924719244599087,0.5830370521348861
Adjusted MuQ,muq_multitask_inner_prior_adjusted,source_equal_weighted,target_macro,ALL,0.37704086140470056,0.35425675735229495,0.5516145119534621
Adjusted MuQ,muq_multitask_inner_prior_adjusted,aria_equal_weighted,target,chest_resonance,0.33896826643156097,0.30056733668482066,0.40184853179687746
Adjusted MuQ,muq_multitask_inner_prior_adjusted,aria_equal_weighted,target,head_resonance,0.32240580150578024,0.29693993877845665,0.4034159793692711
Adjusted MuQ,muq_multitask_inner_prior_adjusted,aria_equal_weighted,target,front_placement,0.3893911096723006,0.37249679342189235,0.5945827162084923
Adjusted MuQ,muq_multitask_inner_prior_adjusted,aria_equal_weighted,target,back_placement,0.337870703932826,0.3275517541133512,0.49369196645397667
Adjusted MuQ,muq_multitask_inner_prior_adjusted,aria_equal_weighted,target,open_throat,0.3064571180932807,0.2949436940406874,0.5492798471782435
Adjusted MuQ,muq_multitask_inner_prior_adjusted,aria_equal_weighted,target,breathiness,0.5076261612704375,0.5028296942121891,0.7568434409226211
Adjusted MuQ,muq_multitask_inner_prior_adjusted,aria_equal_weighted,target,vibrato,0.4178880222336396,0.3927689993411616,0.6300075957163869
