outer_fold,source_scheme,target,selection_uar_weight,selection_macro_f1_weight,selected_tau,inner_selection_score,inner_uar,inner_macro_f1,inner_repeat
0,muq_multitask,chest_resonance,0.5,0.5,0.0,0.3406676047953351,0.347587366608643,0.3337478429820272,0
0,muq_multitask,head_resonance,0.5,0.5,0.0,0.3694951392174195,0.3745414190329444,0.3644488594018945,0
0,muq_multitask,front_placement,0.5,0.5,0.25,0.505441902098382,0.5266530654948735,0.4842307387018905,0
0,muq_multitask,back_placement,0.5,0.5,0.75,0.4499801341289717,0.4955550977901374,0.404405170467806,0
0,muq_multitask,open_throat,0.5,0.5,0.75,0.36227801866031,0.4404101400819661,0.2841458972386539,0
0,muq_multitask,breathiness,0.5,0.5,0.25,0.6123070765326304,0.6296121987951807,0.5950019542700802,0
0,muq_multitask,vibrato,0.5,0.5,0.5,0.5209306489587866,0.5623035406261457,0.4795577572914274,0
1,muq_multitask,chest_resonance,0.5,0.5,0.25,0.3857705445973494,0.3994113029827315,0.3721297862119673,0
1,muq_multitask,head_resonance,0.5,0.5,0.25,0.365330166064291,0.3749297432325319,0.3557305888960502,0
1,muq_multitask,front_placement,0.5,0.5,0.75,0.4243578275091916,0.440549481749831,0.4081661732685522,0
1,muq_multitask,back_placement,0.5,0.5,0.25,0.4320670877936303,0.4275450510039098,0.4365891245833508,0
1,muq_multitask,open_throat,0.5,0.5,0.5,0.3682869194501809,0.4060355056963467,0.3305383332040151,0
1,muq_multitask,breathiness,0.5,0.5,0.5,0.5489701129079929,0.5655602420685861,0.5323799837473998,0
1,muq_multitask,vibrato,0.5,0.5,0.0,0.5050557323748442,0.4969768457841852,0.5131346189655033,0
2,muq_multitask,chest_resonance,0.5,0.5,1.0,0.3808313771654333,0.4822653398819878,0.2793974144488788,0
2,muq_multitask,head_resonance,0.5,0.5,0.75,0.3955565580645095,0.4481235370930336,0.3429895790359853,0
2,muq_multitask,front_placement,0.5,0.5,0.25,0.4057975681368798,0.4078267632404785,0.403768373033281,0
2,muq_multitask,back_placement,0.5,0.5,0.75,0.4525425119672556,0.4969051257653086,0.4081798981692026,0
2,muq_multitask,open_throat,0.5,0.5,0.75,0.3582756278788617,0.4017308678838261,0.3148203878738972,0
2,muq_multitask,breathiness,0.5,0.5,0.25,0.5080362962581254,0.5091214766060953,0.5069511159101555,0
2,muq_multitask,vibrato,0.5,0.5,1.0,0.4121033321999326,0.4973441792175808,0.3268624851822846,0
3,muq_multitask,chest_resonance,0.5,0.5,0.75,0.432896437338343,0.4982012310102406,0.3675916436664455,0
3,muq_multitask,head_resonance,0.5,0.5,0.25,0.3975803294644631,0.3952791033587479,0.3998815555701783,0
3,muq_multitask,front_placement,0.5,0.5,0.5,0.4063245069006326,0.407804214860836,0.4048447989404292,0
3,muq_multitask,back_placement,0.5,0.5,0.5,0.4364288279572407,0.4513293476214672,0.4215283082930141,0
3,muq_multitask,open_throat,0.5,0.5,0.5,0.4121955170624423,0.461454731266101,0.3629363028587835,0
3,muq_multitask,breathiness,0.5,0.5,1.0,0.6336316044061723,0.6772371231901257,0.5900260856222188,0
3,muq_multitask,vibrato,0.5,0.5,0.0,0.4398458189321914,0.4370771777493207,0.4426144601150621,0
4,muq_multitask,chest_resonance,0.5,0.5,0.0,0.4105481666898337,0.4381683588354562,0.3829279745442111,0
4,muq_multitask,head_resonance,0.5,0.5,0.0,0.4029739562050822,0.4081857198623437,0.3977621925478207,0
4,muq_multitask,front_placement,0.5,0.5,0.5,0.4102570601753608,0.4359243697478991,0.3845897506028224,0
4,muq_multitask,back_placement,0.5,0.5,0.5,0.4751311944520566,0.5429523303207514,0.4073100585833618,0
4,muq_multitask,open_throat,0.5,0.5,0.5,0.3762602053683209,0.42185641033623,0.3306640004004117,0
4,muq_multitask,breathiness,0.5,0.5,0.0,0.5399995618030851,0.547248941900731,0.532750181705439,0
4,muq_multitask,vibrato,0.5,0.5,0.25,0.3821340593237869,0.3902666216250031,0.3740014970225709,0
5,muq_multitask,chest_resonance,0.5,0.5,0.0,0.372912439383356,0.3757264278948311,0.370098450871881,0
